state_fips,county_fips,cbsa_code,msa_code,csa_code,cbsa_title,msa_title,csa_title,metro,central
01,001,33860,,388,"Montgomery, AL",,"Montgomery-Selma, AL",1,1
01,003,19300,,380,"Daphne-Fairhope-Foley, AL",,"Mobile-Daphne-Fairhope, AL",1,1
01,005,21640,,,"Eufaula, AL-GA",,,0,1
01,007,13820,,142,"Birmingham, AL",,"Birmingham-Cullman-Talladega, AL",1,0
01,009,13820,,142,"Birmingham, AL",,"Birmingham-Cullman-Talladega, AL",1,0
01,015,11500,,,"Anniston-Oxford, AL",,,1,1
01,017,29300,,122,"LaGrange, GA-AL",,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",0,0
01,021,13820,,142,"Birmingham, AL",,"Birmingham-Cullman-Talladega, AL",1,0
01,031,21460,,222,"Enterprise, AL",,"Dothan-Enterprise-Ozark, AL",0,1
01,033,22520,,250,"Florence-Muscle Shoals, AL",,"Florence-Muscle Shoals-Russellville, AL",1,1
01,037,45180,,142,"Talladega-Sylacauga, AL",,"Birmingham-Cullman-Talladega, AL",0,0
01,043,18980,,142,"Cullman, AL",,"Birmingham-Cullman-Talladega, AL",0,1
01,045,37120,,222,"Ozark, AL",,"Dothan-Enterprise-Ozark, AL",0,1
01,047,42820,,388,"Selma, AL",,"Montgomery-Selma, AL",0,1
01,049,22840,,290,"Fort Payne, AL",,"Huntsville-Decatur-Albertville, AL-TN",0,1
01,051,33860,,388,"Montgomery, AL",,"Montgomery-Selma, AL",1,1
01,055,23460,,,"Gadsden, AL",,,1,1
01,059,40770,,250,"Russellville, AL",,"Florence-Muscle Shoals-Russellville, AL",0,1
01,061,20020,,222,"Dothan, AL",,"Dothan-Enterprise-Ozark, AL",1,0
01,063,46220,,,"Tuscaloosa, AL",,,1,0
01,065,46220,,,"Tuscaloosa, AL",,,1,0
01,067,20020,,222,"Dothan, AL",,"Dothan-Enterprise-Ozark, AL",1,0
01,069,20020,,222,"Dothan, AL",,"Dothan-Enterprise-Ozark, AL",1,1
01,071,42460,,174,"Scottsboro, AL",,"Chattanooga-Cleveland-Dalton, TN-GA-AL",0,1
01,073,13820,,142,"Birmingham, AL",,"Birmingham-Cullman-Talladega, AL",1,1
01,077,22520,,250,"Florence-Muscle Shoals, AL",,"Florence-Muscle Shoals-Russellville, AL",1,1
01,079,19460,,290,"Decatur, AL",,"Huntsville-Decatur-Albertville, AL-TN",1,0
01,081,12220,,194,"Auburn-Opelika, AL",,"Columbus-Auburn-Opelika, GA-AL",1,1
01,083,26620,,290,"Huntsville, AL",,"Huntsville-Decatur-Albertville, AL-TN",1,1
01,085,33860,,388,"Montgomery, AL",,"Montgomery-Selma, AL",1,0
01,087,12220,,194,"Auburn-Opelika, AL",,"Columbus-Auburn-Opelika, GA-AL",1,0
01,089,26620,,290,"Huntsville, AL",,"Huntsville-Decatur-Albertville, AL-TN",1,1
01,095,10700,,290,"Albertville, AL",,"Huntsville-Decatur-Albertville, AL-TN",0,1
01,097,33660,,380,"Mobile, AL",,"Mobile-Daphne-Fairhope, AL",1,1
01,101,33860,,388,"Montgomery, AL",,"Montgomery-Selma, AL",1,1
01,103,19460,,290,"Decatur, AL",,"Huntsville-Decatur-Albertville, AL-TN",1,1
01,107,46220,,,"Tuscaloosa, AL",,,1,0
01,109,45980,,,"Troy, AL",,,0,1
01,113,17980,,194,"Columbus, GA-AL",,"Columbus-Auburn-Opelika, GA-AL",1,1
01,115,13820,,142,"Birmingham, AL",,"Birmingham-Cullman-Talladega, AL",1,1
01,117,13820,,142,"Birmingham, AL",,"Birmingham-Cullman-Talladega, AL",1,1
01,121,45180,,142,"Talladega-Sylacauga, AL",,"Birmingham-Cullman-Talladega, AL",0,1
01,123,10760,,194,"Alexander City, AL",,"Columbus-Auburn-Opelika, GA-AL",0,1
01,125,46220,,,"Tuscaloosa, AL",,,1,1
01,127,13820,,142,"Birmingham, AL",,"Birmingham-Cullman-Talladega, AL",1,0
02,020,11260,,,"Anchorage, AK",,,1,1
02,090,21820,,,"Fairbanks-College, AK",,,1,1
02,110,27940,,,"Juneau, AK",,,0,1
02,130,28540,,,"Ketchikan, AK",,,0,1
02,170,11260,,,"Anchorage, AK",,,1,0
04,003,43420,,,"Sierra Vista-Douglas, AZ",,,1,1
04,005,22380,,,"Flagstaff, AZ",,,1,1
04,007,37740,,429,"Payson, AZ",,"Phoenix-Mesa, AZ",0,1
04,009,40940,,,"Safford, AZ",,,0,1
04,013,38060,,429,"Phoenix-Mesa-Chandler, AZ",,"Phoenix-Mesa, AZ",1,1
04,015,29420,,,"Lake Havasu City-Kingman, AZ",,,1,1
04,017,43320,,,"Show Low, AZ",,,0,1
04,019,46060,,536,"Tucson, AZ",,"Tucson-Nogales, AZ",1,1
04,021,38060,,429,"Phoenix-Mesa-Chandler, AZ",,"Phoenix-Mesa, AZ",1,1
04,023,35700,,536,"Nogales, AZ",,"Tucson-Nogales, AZ",0,1
04,025,39150,,,"Prescott Valley-Prescott, AZ",,,1,1
04,027,49740,,,"Yuma, AZ",,,1,1
