County Code,County Title,MSA Code,MSA Title,CSA Code,CSA Title
01001,"Autauga County, Alabama",C3386,"Montgomery, AL  MSA",CS388,"Montgomery-Alexander City, AL CSA"
01003,"Baldwin County, Alabama",C1930,"Daphne-Fairhope, AL  MicroSA",CS380,"Mobile-Daphne-Fairhope, AL CSA"
01005,"Barbour County, Alabama",C2164,"Eufaula, AL-GA MicroSA",,
01007,"Bibb County, Alabama",C1382,"Birmingham-Hoover, AL  MSA",CS142,"Birmingham-Hoover-Cullman, AL CSA"
01009,"Blount County, Alabama",C1382,"Birmingham-Hoover, AL  MSA",CS142,"Birmingham-Hoover-Cullman, AL CSA"
01015,"Calhoun County, Alabama",C1150,"Anniston-Oxford, AL  MSA",,
01017,"Chambers County, Alabama",C4674,"Valley, AL  MicroSA",CS122,"Atlanta-Sandy Springs-Gainesville, GA-AL CSA"
01021,"Chilton County, Alabama",C1382,"Birmingham-Hoover, AL  MSA",CS142,"Birmingham-Hoover-Cullman, AL CSA"
01031,"Coffee County, Alabama",C2146,"Enterprise-Ozark, AL  MicroSA",CS222,"Dothan-Enterprise-Ozark, AL CSA"
01033,"Colbert County, Alabama",C2252,"Florence-Muscle Shoals, AL MSA",,
01037,"Coosa County, Alabama",C1076,"Alexander City, AL MicroSA",CS388,"Montgomery-Alexander City, AL CSA"
01043,"Cullman County, Alabama",C1898,"Cullman, AL  MicroSA",CS142,"Birmingham-Hoover-Cullman, AL CSA"
01045,"Dale County, Alabama",C2146,"Enterprise-Ozark, AL  MicroSA",CS222,"Dothan-Enterprise-Ozark, AL CSA"
01047,"Dallas County, Alabama",C4282,"Selma, AL  MicroSA",,
01049,"DeKalb County, Alabama",C2284,"Fort Payne, AL MicroSA",,
01051,"Elmore County, Alabama",C3386,"Montgomery, AL  MSA",CS388,"Montgomery-Alexander City, AL CSA"
01055,"Etowah County, Alabama",C2346,"Gadsden, AL  MSA",,
01061,"Geneva County, Alabama",C2002,"Dothan, AL  MSA",CS222,"Dothan-Enterprise-Ozark, AL CSA"
01063,"Greene County, Alabama",C4622,"Tuscaloosa, AL  MSA",,
01065,"Hale County, Alabama",C4622,"Tuscaloosa, AL  MSA",,
01067,"Henry County, Alabama",C2002,"Dothan, AL  MSA",CS222,"Dothan-Enterprise-Ozark, AL CSA"
